"longitude","latitude","GST"
"24.0","49.0","5.850214640299502"
"2.0","46.0","9.31952819824221"
"-7.0","44.0","15.833794148763044"
"6.0","44.0","8.54546305338544"
"-12.0","43.0","16.142658487955753"
"-11.0","29.0","20.147424316406273"
"-3.0","29.0","22.89245300292971"
"13.0","29.0","22.06699422200523"
"3.0","39.0","19.921468098958357"
"4.0","39.0","20.094295247395856"
"23.0","37.0","18.825420125325543"
"-7.0","50.0","12.90104675292971"
"-8.0","49.0","13.41287027994794"
"27.0","49.0","7.084782918294294"
"37.0","49.0","7.038323974609398"
"17.0","46.0","10.630304972330752"
"-13.0","45.0","15.31119791666669"
"15.0","45.0","9.535913085937523"
"-7.0","43.0","9.33006998697919"
"-8.0","42.0","10.710596720377627"
"10.0","42.0","18.023618570963563"
"19.0","42.0","18.228032430013045"
"37.0","42.0","16.32352498372398"
"24.0","41.0","12.855832926432315"
"-13.0","38.0","18.3137878417969"
"29.0","38.0","13.90445251464846"
"-6.0","37.0","18.937304687500024"
"-7.0","36.0","19.373396809895855"
"16.0","34.0","22.944033813476587"
"28.0","33.0","22.35929870605471"
"-12.0","30.0","21.069385782877628"
"26.0","52.0","6.842681884765648"
"36.0","52.0","4.6461954752604395"
"38.0","50.0","6.03503824869794"
"21.0","48.0","9.542328898112002"
"9.0","47.0","3.9802612304687726"
"33.0","47.0","9.513713582356793"
"-6.0","45.0","15.523790486653668"
"5.0","45.0","9.377998860677106"
"26.0","45.0","8.868061319987001"
"14.0","43.0","17.477020263671896"
"3.0","32.0","20.77191569010419"
"8.0","31.0","22.46457417805992"
"1.0","41.0","15.473892211914086"
"21.0","41.0","9.545771280924502"
"9.0","40.0","14.545880126953147"
"22.0","39.0","12.223281860351586"
"5.0","38.0","20.164121500651063"
"-12.0","36.0","19.136037190755232"
"5.0","52.0","10.16521911621096"
"6.0","51.0","10.096088663737001"
"14.0","50.0","8.235474650065127"
"20.0","50.0","7.497114054362002"
"-9.0","48.0","13.798058064778669"
"1.0","48.0","10.605394490559918"
"-11.0","47.0","14.42946980794273"
"29.0","46.0","10.237891642252627"
"24.0","30.0","22.319413248697938"
"32.0","30.0","22.258729044596375"
"34.0","29.0","18.058868408203146"
"15.0","32.0","23.455972290039085"
"22.0","32.0","21.103480021158877"
"-10.0","31.0","19.928487141927107"
"23.0","31.0","22.615405273437524"
"38.0","36.0","19.963181559244813"
"32.0","35.0","22.347708129882836"
"1.0","34.0","15.307132975260439"
"38.0","43.0","15.475121053059919"
"33.0","40.0","9.887946573893252"
"15.0","39.0","21.037202962239608"
"-10.0","37.0","18.578548177083356"
"12.0","37.0","21.0668395996094"
"31.0","37.0","16.951246134440126"
"14.0","36.0","21.640862019856794"
"-6.0","52.0","11.719433593750022"
"-7.0","51.0","12.284009806315128"
"-12.0","50.0","12.811584472656273"
"25.0","47.0","5.140837605794293"
"-13.0","46.0","14.880243937174502"
"11.0","46.0","6.148583984375023"
"-2.0","29.0","22.99645996093752"
"18.0","29.0","23.410970052083357"
"25.0","29.0","21.792945353190127"
"33.0","33.0","23.30540466308596"
"12.0","31.0","20.496084594726586"
"-1.0","35.0","16.836545817057313"
"24.0","35.0","20.467541503906272"
"9.0","33.0","21.63009948730471"
"17.0","33.0","23.486954752604188"
"16.0","42.0","18.414570109049503"
"25.0","40.0","17.270896402994815"
"-4.0","38.0","16.031871541341168"
"26.0","38.0","19.22751159667971"
"8.0","37.0","19.997490437825544"
"3.0","52.0","12.704706827799502"
"24.0","48.0","5.197332763671898"
"-3.0","44.0","16.160089111328148"
"18.0","44.0","7.351211547851586"
"35.0","44.0","14.329882812500022"
"27.0","42.0","12.487934366862001"
"2.0","38.0","20.526677449544295"
"26.0","37.0","19.955776977539085"
"20.0","33.0","23.352503458658877"
"-11.0","32.0","20.550276692708355"
"-4.0","31.0","21.69804585774742"
"5.0","31.0","23.107367960612002"
"14.0","30.0","22.101452636718772"
"21.0","29.0","23.544219970703146"
"-4.0","51.0","10.524152628580753"
"18.0","51.0","8.892910766601585"
"35.0","51.0","5.426918538411481"
"10.0","49.0","8.482648722330753"
"2.0","45.0","9.913165283203147"
"-4.0","44.0","16.47433776855471"
"-11.0","39.0","17.502002970377628"
"9.0","39.0","19.294094848632835"
"14.0","35.0","22.274133300781273"
"38.0","35.0","17.486987304687524"
"9.0","32.0","21.76461385091148"
"33.0","32.0","23.260473632812523"
"26.0","31.0","21.30961100260419"
"15.0","52.0","9.836821492513044"
"-3.0","51.0","10.25744323730471"
"8.0","50.0","9.379895019531272"
"23.0","50.0","8.117225138346377"
"28.0","47.0","8.731011962890648"
"-1.0","46.0","12.683995564778668"
"32.0","46.0","12.759311930338564"
"28.0","40.0","14.329359944661482"
"25.0","39.0","18.374627685546898"
"33.0","39.0","12.17796325683596"
"5.0","37.0","20.256045532226587"
"36.0","37.0","19.069429524739608"
"6.0","36.0","14.285543823242211"
"-12.0","35.0","19.5434020996094"
"25.0","32.0","22.668391927083356"
"38.0","30.0","20.95169169108075"
"1.0","29.0","24.103008015950543"
"22.0","50.0","8.318919881184918"
"-4.0","49.0","12.777966308593772"
"8.0","48.0","7.901630655924502"
"37.0","47.0","8.990349324544294"
"3.0","43.0","13.758467610677107"
"36.0","30.0","18.613435872395858"
"14.0","29.0","22.55326843261721"
"24.0","32.0","22.24114481608075"
"13.0","31.0","20.910811360677105"
"5.0","35.0","18.762250773112"
"26.0","35.0","20.57039489746096"
"-7.0","34.0","20.069195556640647"
"8.0","34.0","22.27998250325523"
"19.0","33.0","23.199963378906272"
"35.0","42.0","14.052436319987002"
